Carrier,Observation Date,Observation Time,Origin,Destination,Is One Way,Outbound Flight No,Outbound Departure Date,Outbound Arrival Date,Price Excluding Tax,Tax,Currency,Aircraft Code,Aircraft Name,Transfer IATA,Transfer Duration
S7,2024-08-09,08:01:44,AER,GOJ,true,S7 5104,2024-09-02T13:25:00,2024-09-03T20:00:00,49985.00,1490.00,RUB,321,Airbus A321,OVB,1330
S7,2024-08-09,08:01:44,AER,GOJ,true,S7 5110,2024-09-02T11:55:00,2024-09-03T20:00:00,49985.00,1490.00,RUB,73H,Boeing 737-800,OVB,1425
S7,2024-08-09,08:01:45,AER,GOJ,true,S7 5112,2024-09-03T04:50:00,2024-09-03T20:00:00,45525.00,1490.00,RUB,73H,Boeing 737-800,OVB,405
S7,2024-08-09,08:01:45,AER,GOJ,true,S7 5118,2024-09-03T00:55:00,2024-09-03T20:00:00,45525.00,1490.00,RUB,73H,Boeing 737-800,OVB,640
S7,2024-08-09,08:01:46,AER,GOJ,true,S7 5108,2024-09-04T14:55:00,2024-09-05T20:00:00,40320.00,1490.00,RUB,73H,Boeing 737-800,OVB,1245
S7,2024-08-09,08:01:46,AER,GOJ,true,S7 5114,2024-09-04T18:00:00,2024-09-05T20:00:00,44780.00,1490.00,RUB,32A,Airbus A320,OVB,1060
S7,2024-08-09,08:01:46,AER,GOJ,true,S7 5106,2024-09-04T16:50:00,2024-09-05T20:00:00,44780.00,1490.00,RUB,73H,Boeing 737-800,OVB,1130
S7,2024-08-09,08:01:46,AER,GOJ,true,S7 5104,2024-09-04T13:25:00,2024-09-05T20:00:00,44780.00,1490.00,RUB,321,Airbus A321,OVB,1330
S7,2024-08-09,08:01:46,AER,GOJ,true,S7 5110,2024-09-04T11:55:00,2024-09-05T20:00:00,44780.00,1490.00,RUB,73H,Boeing 737-800,OVB,1425
S7,2024-08-09,08:01:46,AER,GOJ,true,S7 5112,2024-09-05T04:50:00,2024-09-05T20:00:00,44780.00,1490.00,RUB,73H,Boeing 737-800,OVB,405
S7,2024-08-09,08:01:47,AER,GOJ,true,S7 5112,2024-09-05T04:50:00,2024-09-05T20:00:00,44780.00,1490.00,RUB,73H,Boeing 737-800,OVB,405
S7,2024-08-09,08:01:48,AER,GOJ,true,S7 5116,2024-09-07T13:40:00,2024-09-08T20:00:00,57175.00,1490.00,RUB,73H,Boeing 737-800,OVB,1315
S7,2024-08-09,08:01:48,AER,GOJ,true,S7 5114,2024-09-07T18:00:00,2024-09-08T20:00:00,61635.00,1490.00,RUB,73H,Boeing 737-800,OVB,1060
S7,2024-08-09,08:01:48,AER,GOJ,true,S7 5108,2024-09-07T14:55:00,2024-09-08T20:00:00,61635.00,1490.00,RUB,73H,Boeing 737-800,OVB,1245
S7,2024-08-09,08:01:48,AER,GOJ,true,S7 5104,2024-09-07T13:25:00,2024-09-08T20:00:00,61635.00,1490.00,RUB,321,Airbus A321,OVB,1330
S7,2024-08-09,08:01:48,AER,GOJ,true,S7 5106,2024-09-07T16:50:00,2024-09-08T20:00:00,66840.00,1490.00,RUB,73H,Boeing 737-800,OVB,1130
S7,2024-08-09,08:01:48,AER,GOJ,true,S7 5110,2024-09-07T11:55:00,2024-09-08T20:00:00,66840.00,1490.00,RUB,73H,Boeing 737-800,OVB,1425
S7,2024-08-09,08:01:49,AER,GOJ,true,S7 5112,2024-09-08T04:50:00,2024-09-08T20:00:00,61635.00,1490.00,RUB,73H,Boeing 737-800,OVB,405
S7,2024-08-09,08:01:50,AER,GOJ,true,S7 5108,2024-09-09T14:55:00,2024-09-10T20:00:00,45525.00,1490.00,RUB,73H,Boeing 737-800,OVB,1245
S7,2024-08-09,08:01:50,AER,GOJ,true,S7 5106,2024-09-09T16:50:00,2024-09-10T20:00:00,49985.00,1490.00,RUB,73H,Boeing 737-800,OVB,1130
S7,2024-08-09,08:01:50,AER,GOJ,true,S7 5116,2024-09-09T13:40:00,2024-09-10T20:00:00,49985.00,1490.00,RUB,73H,Boeing 737-800,OVB,1315
S7,2024-08-09,08:01:50,AER,GOJ,true,S7 5104,2024-09-09T13:25:00,2024-09-10T20:00:00,49985.00,1490.00,RUB,321,Airbus A321,OVB,1330
S7,2024-08-09,08:01:50,AER,GOJ,true,S7 5110,2024-09-09T11:55:00,2024-09-10T20:00:00,49985.00,1490.00,RUB,73H,Boeing 737-800,OVB,1425
S7,2024-08-09,08:01:50,AER,GOJ,true,S7 5118,2024-09-10T00:55:00,2024-09-10T20:00:00,45525.00,1490.00,RUB,73H,Boeing 737-800,OVB,640
S7,2024-08-09,08:01:50,AER,GOJ,true,S7 5112,2024-09-10T04:50:00,2024-09-10T20:00:00,49985.00,1490.00,RUB,73H,Boeing 737-800,OVB,405
S7,2024-08-09,08:01:51,AER,GOJ,true,S7 5106,2024-09-11T16:50:00,2024-09-12T20:00:00,48820.00,1490.00,RUB,73H,Boeing 737-800,OVB,1130
S7,2024-08-09,08:01:51,AER,GOJ,true,S7 5108,2024-09-11T14:55:00,2024-09-12T20:00:00,53280.00,1490.00,RUB,73H,Boeing 737-800,OVB,1245
S7,2024-08-09,08:01:51,AER,GOJ,true,S7 5104,2024-09-11T13:25:00,2024-09-12T20:00:00,53280.00,1490.00,RUB,321,Airbus A321,OVB,1330
S7,2024-08-09,08:01:51,AER,GOJ,true,S7 5110,2024-09-11T11:55:00,2024-09-12T20:00:00,53280.00,1490.00,RUB,73H,Boeing 737-800,OVB,1425
S7,2024-08-09,08:01:52,AER,GOJ,true,S7 5112,2024-09-12T04:50:00,2024-09-12T20:00:00,48820.00,1490.00,RUB,73H,Boeing 737-800,OVB,405
S7,2024-08-09,08:01:53,AER,GOJ,true,S7 5112,2024-09-12T04:50:00,2024-09-12T20:00:00,48820.00,1490.00,RUB,73H,Boeing 737-800,OVB,405
S7,2024-08-09,08:01:54,AER,GOJ,true,S7 5106,2024-09-14T16:50:00,2024-09-15T20:00:00,58485.00,1490.00,RUB,73H,Boeing 737-800,OVB,1130
S7,2024-08-09,08:01:54,AER,GOJ,true,S7 5108,2024-09-14T14:55:00,2024-09-15T20:00:00,58485.00,1490.00,RUB,73H,Boeing 737-800,OVB,1245
